play name;written;print;number of stages;len_stages_words;verbs set;number of unique verbs
Балаганчик;1906;1906;38;1823;колебать,вынимать,гнаться,видеть,спотыкаться,помолчать,полететь,вздыхать,истекать,толпиться,прижиматься,оттягивать,оживать,теряться,хватать,приходить,душить,вырастать,повисать,сваливаться,заиграть,обнаруживаться,бросаться,прогуливаться,следить,оказываться,откидываться,останавливаться,стоить,услыхать,наклоняться,обращать,убегать,нарисовать,взъерошивать,спрятать,петь,хотеть,болтаться,подходить,касаться,улетать,освещать,распинать,склоняться,целоваться,висеть,шептать,чертить,прыгать,испугать,поболтаться,перегибаться,лопнуть,вскакивать,приподниматься,лежать,копошиться,уходить,просовываться,опускаться,выскакивать,идти,склонять,взвиваться,замечать,опрокидывать,выкидывать,разбегаться,взволновать,врываться,вырезываться,торжествовать,раздергиваться,брать,сидеть,исчезать,стоять,подбегать,раскачиваться,говорить,бродить,прятаться,складывать,умирать,молчать,вытягиваться,кричать,размечтаться,начинать,оживляться,выкатить,появляться,сдвигаться,соединять,смеяться,вылезать,казаться,застыдиться,вырываться,выступать,улыбаться,всплескиваться,удаляться,подниматься,смотреть,высовываться,бить,заниматься,быть,светлеть,очнуться,кружиться,разронять,серебриться,класть,;116
Король на площади;1906;1906;133;3541;вынимать,оставаться,стараться,выпрямляться,срывать,дрожать,зажимать,слышать,охватывать,бороться,просыпаться,возрастать,спать,вздрагивать,разъярять,распространять,заволакиваться,усиливаться,пробираться,обращаться,бормотать,разгораться,опираться,вырастать,отталкивать,искать,сдерживать,следить,переставать,внимать,рушиться,распахивать,звенеть,останавливаться,светать,слышаться,баюкать,вмешиваться,выходить,сбегать,держать,разглядеть,рассыпаться,гулять,нестись,мелькать,собираться,убегать,обращать,брести,играть,захлебываться,расти,петь,заливаться,расходиться,проноситься,подходить,вопить,давать,ждать,клубиться,гореть,рыскать,прибывать,смолкать,качать,возобновляться,покатываться,двинуться,зажигаться,склоняться,прильнуть,вглядываться,замирать,шелестеть,носиться,прыгать,качаться,обнимать,подплывать,упасть,лежать,потряхивать,всхлипывать,начинаться,уходить,опускаться,выскакивать,продавать,идти,прислоняться,кланяться,приближаться,закидывать,вечереть,взвиваться,смешиваться,плакать,блестеть,становиться,укачивать,огибать,бежать,пресыщать,находиться,спускаться,сидеть,затихать,исчезать,стоять,разрывать,сходить,роптать,всходить,говорить,рассеиваться,вступать,хлынуть,сливаться,завертываться,прикасаться,приветствовать,пятиться,умирать,садиться,молчать,подуть,кричать,господствовать,проникать,прорываться,оставлять,хвататься,ломать,шмыгать,начинать,прерываться,гнать,стучать,гудеть,падать,нарушаться,восходить,светиться,появляться,пропадать,направляться,прерывать,продолжаться,доноситься,вылезать,казаться,подхватывать,потускнеть,раздаваться,выныривать,рвать,возвышаться,выступать,метаться,убивать,раскатываться,избороздить,бледнеть,удаляться,присоединяться,струиться,вспыхивать,лететь,подвигаться,подниматься,смотреть,представлять,высовываться,бить,расшатываться,свистеть,трубить,отступать,креститься,взглядывать,отдалять,сгущаться,встречаться,;185
Незнакомка;1906;1906;80;2793;вынимать,оставаться,читать,скатываться,стараться,заглядывать,всматриваться,толпиться,тянуться,жевать,произноситься,просыпаться,делать,доплывать,ерзать,оборачиваться,подрагивать,узнавать,булькать,краснеть,обращаться,опираться,подержать,бросаться,медлить,плыть,переставать,раскрываться,шептаться,построить,мычать,останавливаться,исчерпываться,подзывать,грустить,послушаться,срываться,наклоняться,застегнуть,выходить,вставать,возвращаться,убегать,пить,обращать,встречать,отгонять,умолять,запинаться,запорашивать,подходить,отвечать,давать,ждать,хранить,гореть,опушать,освещать,щелкать,звездиться,сконфузить,обрамлять,торчать,впархивать,хохотать,простереть,сморкаться,вспомнить,колебаться,протягиваться,писать,проскальзывать,удивлять,выскакивать,дремать,идти,открываться,замечать,входить,дымиться,плакать,порхать,блестеть,становиться,осыпать,одевать,бежать,вытаскивать,заминать,сидеть,шарить,исчезать,стоять,подбегать,говорить,продолжать,обрываться,нырнуть,шататься,складывать,обниматься,молчать,садиться,хмелеть,полагаться,кричать,проглатывать,уплотняться,отходить,описывать,долженствовать,волочь,начинать,заслонять,падать,мочь,восходить,закручиваться,светиться,полагать,выпаливать,пропадать,появляться,продолжаться,прерывать,притихать,смеяться,доноситься,грозить,застывать,казаться,хлебать,вырываться,припоминать,улыбаться,вбегать,шипеть,удаляться,присоединяться,расступаться,замолкать,ловить,подниматься,смотреть,потемнеть,рассматривать,хихикать,быть,похрустывать,разносить,кружиться,;151
Дни Турбиных;1926;1926;372;3560;вынимать,оставаться,читать,желать,ронять,видеть,усаживаться,срывать,сталкиваться,окровавливать,увянуть,выламывать,зажимать,делать,переодевать,выглядывать,оживать,передавать,отнимать,приходить,отталкивать,бросаться,вызывать,плыть,останавливаться,разбивать,обривать,пробиваться,пищать,выходить,держать,отворять,отползать,вставать,возвращаться,убегать,пить,играть,отодвигать,кидаться,заплакать,стрелять,бинтовать,петь,подходить,давать,протягивать,гореть,красться,смолкать,котиться,освещать,целовать,звонить,замахиваться,аплодировать,отворяться,склоняться,целоваться,замирать,лопнуть,разуваться,шуметь,закуривать,писать,прислушиваться,уходить,начинаться,удерживать,ударять,идти,кланяться,приближаться,открываться,топить,напевать,снимать,входить,плакать,вешать,разбегаться,утихать,запевать,пробегать,бежать,выпивать,брать,исчезать,передразнивать,говорить,попадать,зарыдать,прятаться,садиться,браться,молчать,гаснуть,кричать,воротиться,отходить,дрогнуть,ломать,начинать,гудеть,падать,выбегать,подавлять,трогать,волноваться,появляться,курить,маршировать,греметь,ложиться,наигрывать,оскаливаться,подлетать,прятать,подхватывать,рвать,усаживать,надевать,пилить,вбегать,тушить,прибегать,вспыхивать,выносить,смотреть,седеть,бить,свистеть,пролетать,креститься,скрываться,укладывать,помогать,взглядывать,;138
Чайка;1895;1895;474;4328;оставаться,читать,сверкать,стараться,видеть,помолчать,срывать,вздыхать,ласкать,дрожать,опечаливать,махать,тереть,накладывать,дразнить,взять,делать,вздрагивать,выглядывать,озябнуть,проходиться,хватать,кивать,треплеть,опираться,искать,сдерживать,вспылить,услышать,сконфузиться,распахивать,напиваться,останавливаться,слышаться,глядеть,выходить,сказать,отворять,вставать,зайти,возвращаться,чокаться,катить,обращать,пить,собираться,играть,раскланиваться,перелистывать,убегать,петь,выть,хотеть,мешать,осматриваться,подходить,поддерживать,давать,протягивать,гореть,нюхать,получать,расчесывать,качать,наливать,топнуть,бывать,целовать,записывать,сколачивать,поцеловать,подбочениться,склоняться,целоваться,прохаживаться,посмотреть,хохотать,обнимать,обрывать,шуметь,ставить,закуривать,писать,прислушиваться,уходить,опускаться,рыдать,идти,кланяться,написать,открываться,напевать,снимать,входить,плакать,пожимать,поправлять,становиться,сдавать,пробегать,бежать,брать,сидеть,встречаться,стоять,подавать,говорить,продолжать,садиться,молчать,кричать,отходить,пошатываться,стучать,волноваться,отрывать,доставать,направляться,раздумывать,завтракать,растрогать,смеяться,держаться,показываться,оглянуться,поглядеть,предполагаться,подумать,прятать,рвать,будить,усаживать,хлопотать,убивать,отражаться,улыбаться,вести,окидывать,кивнуть,надевать,тушить,жать,увидеть,паузить,подниматься,смотреть,облокачиваться,зачеркивать,оглядываться,швырять,одеваться,потягиваться,окликать,помогать,храпеть,класть,;156
Дядя Ваня;1896;1896;412;3829;оставаться,читать,зевать,видеть,стараться,вздыхать,слышать,всматриваться,прижиматься,бороться,покачать,кликать,делать,вздрагивать,оборачиваться,освобождаться,отнимать,кивать,сервировать,искать,сдерживать,ошеломлять,мотать,останавливаться,стоить,растягивать,глядеть,выходить,осматривать,вставать,возвращаться,пить,играть,перелистывать,стрелять,высыпаться,смягчаться,петь,кутать,укреплять,хотеть,мешать,подсвистывать,подходить,давать,протягивать,наливать,целовать,низать,записывать,звонить,будировать,поцеловать,подбочениться,склоняться,целоваться,иметь,вязать,обнимать,ставить,лежать,прислушиваться,писать,уходить,удерживать,дремать,идти,прислоняться,кланяться,слушать,входить,плакать,пожимать,поправлять,становиться,взволновать,выпивать,брать,сидеть,смущать,стоять,подавать,говорить,гладить,затягивать,нагибать,садиться,кричать,свертывать,отходить,погружаться,ломать,хлопать,пошатываться,думать,стучать,полагать,волноваться,припадать,доставать,раздумывать,закручивать,вернуться,растрогать,смеяться,оглянуться,грозить,наигрывать,подумать,прятать,сосчитать,есть,вести,вбегать,ходить,прощаться,рыться,жать,увидеть,смотреть,бить,оглядываться,свистеть,вскрикивать,нагрязнить,очнуться,укладывать,взглядывать,помогать,класть,настраивать,;131
Иванов;1888;1888;549;4786;оставаться,вынимать,читать,ронять,зевать,видеть,вздыхать,сталкиваться,дрожать,махать,всматриваться,бороться,перебивать,дразнить,оторопеть,делать,вздрагивать,разучивать,выглядывать,хватать,кивать,обращаться,вспылить,отбегать,переставать,застреливаться,останавливаться,прицеливаться,глядеть,мяться,выходить,вставать,возвращаться,собираться,пить,играть,гримасничать,раскланиваться,петь,затыкать,хотеть,отвечать,подходить,давать,протягивать,задумываться,гореть,запыхаться,разодевать,касаться,наливать,всплескивать,целовать,щелкать,склоняться,шагать,целоваться,притушивать,прыгать,хохотать,обнимать,отделять,вскакивать,поникать,приподниматься,закрываться,лежать,прислушиваться,возмущаться,уходить,рыдать,идти,кланяться,семенить,вечереть,напевать,слушать,снимать,входить,плакать,пожимать,здороваться,поравняться,одевать,бежать,выпивать,циркулировать,брать,сидеть,стоять,закатываться,подбегать,подавать,прыскать,садиться,кричать,вкопать,отходить,хлопать,задыхаться,пошатываться,думать,падать,кашлять,выбегать,останавливать,волноваться,направляться,отстранять,шутить,подпрыгивать,смеяться,показываться,подумать,прятать,увидать,вести,вбегать,ходить,тушить,обходить,рыться,прикладывать,вспыхивать,увидеть,смотреть,оглядываться,бить,крякать,вскрикивать,потягиваться,разносить,взглядывать,запивать,класть,;135
Юбилей;1891;1891;144;1173;вставать,уходить,стучать,возвращаться,читать,падать,кашлять,гнаться,засучивать,играть,волноваться,идти,обижаться,доставать,вздыхать,дышать,стонать,петь,махать,входить,смеяться,плакать,пожимать,подходить,прятать,протягивать,благодарить,топотать,бежать,вздрагивать,запыхаться,тронуть,вести,служить,целовать,обращаться,щелкать,стоять,целоваться,подавать,продолжать,вспылить,взвизгивать,смотреть,посмотреть,оглядываться,хохотать,садиться,отмахиваться,вскакивать,кричать,обмахиваться,взглядывать,писать,;54
Леший;1889;1889;498;4103;ронять,читать,зевать,вздыхать,накладывать,перебивать,взять,вздрагивать,отнимать,узнавать,умолкать,кивать,сервировать,точить,бросаться,арендовать,застреливаться,любоваться,глядеть,выходить,осматривать,вставать,велеть,возвращаться,убегать,пить,играть,жестикулировать,стонать,петь,кутать,хотеть,подсвистывать,подходить,давать,протягивать,наливать,всплескивать,целовать,звонить,фиксировать,щелкать,целоваться,шептать,хохотать,обнимать,расшаркиваться,прислушиваться,уходить,дремать,идти,кланяться,напевать,преклоняться,слушать,входить,подражать,плакать,нести,скоблить,отворачиваться,здороваться,благодарить,взволновать,бежать,сидеть,вырывать,подавать,прятаться,садиться,кричать,отходить,подслушивать,ломать,хлопать,пошатываться,застегивать,суетиться,стучать,падать,окутывать,волноваться,припадать,вернуться,растрогать,смеяться,показываться,рвать,спешить,хлопотать,есть,увидать,вести,надевать,ходить,тушить,резать,рыться,вспыхивать,увидеть,подниматься,смотреть,оглядываться,одеваться,вскрикивать,очнуться,скрываться,укладывать,помогать,класть,;110
Медведь;1888;1888;102;788;задыхаться,вставать,уходить,падать,возвращаться,трещать,зевать,стараться,топать,идти,отрывать,вздыхать,злиться,слушать,смеяться,входить,плакать,пожимать,дразнить,подходить,становиться,ломаться,задумываться,рвать,наступать,вздрагивать,брать,хватать,звонить,осматривать,вспыхивать,подавать,сюсюкать,увидеть,говорить,целоваться,вскрикивать,останавливаться,садиться,вскакивать,кричать,отходить,глядеть,расшаркиваться,хлопать,класть,хвататься,;47
На большой дороге;1884;1884;213;1979;оставаться,стараться,расплачиваться,вздыхать,махать,спать,оборачиваться,взмахивать,полулежать,хватать,узнавать,дуть,отскакивать,развалиться,отталкивать,укрываться,сконфузиться,переходить,останавливаться,слышаться,глядеть,выходить,держать,отворять,осматривать,вставать,собираться,убегать,пить,стонать,хотеть,осматриваться,подходить,задумываться,захлопывать,качать,наливать,всплескивать,вглядываться,висеть,хохотать,вскакивать,приподниматься,закуривать,уходить,рыдать,идти,кланяться,отдавать,снимать,входить,плакать,пожимать,уступать,становиться,одевать,бежать,вытаскивать,толкать,растягиваться,сидеть,вырывать,стоять,подбегать,подавать,говорить,ежиться,садиться,кричать,вкопать,отходить,уезжать,хлопать,пошатываться,стучать,падать,кашлять,доставать,отстранять,ложиться,смеяться,наигрывать,поглядеть,вести,ходить,подъезжать,тушить,рыться,выносить,ловить,располагаться,подниматься,смотреть,представлять,рассматривать,бить,вскрикивать,высовывать,потягиваться,класть,;100
Ночь перед судом;1884;1884;52;421;уходить,возвращаться,доставать,снимать,входить,тянуться,отвечать,прятать,протягивать,делать,бежать,выглядывать,целовать,вырывать,рыться,увидеть,прыгать,садиться,закапчивать,щупать,кричать,скрываться,подслушивать,писать,;24
Предложение;1888;1888;73;490;пошатываться,уходить,падать,пить,волноваться,стараться,идти,вздыхать,стонать,растрогать,соединять,входить,смеяться,плакать,пожимать,перебивать,дразнить,поглядеть,целовать,хватать,ходить,вбегать,трепать,целоваться,взвизгивать,подниматься,обнимать,кричать,хвататься,;29
Свадьба;1889;1889;96;767;вставать,оставаться,уходить,стучать,кашлять,пить,считать,играть,стараться,усаживаться,идти,кланяться,вздыхать,напевать,махать,растрогать,входить,подражать,струшивать,перебивать,спешить,бежать,хлопотать,запыхаться,докладывать,наливать,вести,отставать,освещать,вспыхивать,целоваться,говорить,увидеть,поперхнуться,воспользоваться,садиться,расслышать,кричать,дрогнуть,выходить,наступать,;41
Татьяна Репина;1889;1889;125;1069;задыхаться,пошатываться,оставаться,уходить,читать,опускаться,пить,идти,кланяться,вздыхать,стонать,дрожать,валяться,греметь,петь,снимать,всматриваться,становиться,давать,рвать,гореть,предоставлять,передавать,вести,всплескивать,венчать,надевать,валить,обращаться,тушить,целоваться,подниматься,венчаться,выходить,полинять,слышаться,кричать,сменять,подпевать,;39
Трагик поневоле (Из дачной жизни);1889;1889;16;191;петь,оглядываться,входить,сидеть,вынимать,гоняться,читать,опускаться,вскакивать,поводить,кричать,топать,наступать,дышать,держать,;15
Три сестры;1900;1900;653;5892;вынимать,оставаться,лить,причесывать,читать,ронять,зевать,заглядывать,вздыхать,ласкать,махать,поздороваться,слышать,тереть,всматриваться,картавить,охватывать,оторопеть,прижиматься,дразнить,прыскаться,спать,вздрагивать,выглядывать,приходить,брызгать,знать,сдерживать,прогуливаться,переставать,раскладывать,останавливаться,рассердиться,стоить,вспотеть,глядеть,сказать,отворять,вставать,собираться,убегать,пить,встречать,играть,проезжать,петь,посвистывать,мешать,подходить,разбиваться,ждать,задумываться,тосковать,расчесывать,всплескивать,целовать,записывать,звонить,аплодировать,целоваться,сконфузить,шептать,огорчать,помешать,хохотать,обнимать,затворять,ставить,лежать,прислушиваться,уходить,начинаться,рыдать,танцевать,спохватываться,идти,кланяться,напевать,слушать,снимать,входить,плакать,нести,пожимать,поправлять,укачивать,здороваться,одевать,взволновать,брать,сидеть,поправляться,смущать,встречаться,стоять,сходить,подавать,говорить,гладить,мыть,тянуть,кидать,шататься,садиться,браться,кричать,отходить,нагибаться,хлопать,начинать,думать,стучать,суетиться,повертывать,выбегать,сдерживаться,трогать,волноваться,доставать,плясать,ложиться,завтракать,растрогать,смеяться,показываться,беседовать,наигрывать,подумать,глядеться,спешить,усаживать,декламировать,улыбаться,вести,окидывать,надевать,ходить,подъезжать,тушить,прощаться,покидать,увидеть,смотреть,бить,оглядываться,рассматривать,вскрикивать,быть,позвать,потягиваться,очнуться,взглядывать,испугаться,отдыхать,класть,;155
Вишневый сад;1903;1903;575;6220;вынимать,оставаться,ронять,читать,зевать,усаживаться,стараться,обнаруживать,называться,вздыхать,заглядывать,дрожать,стихать,сжиматься,махать,скрипеть,ласкаться,сосать,оторопеть,дразнить,утешать,высыпать,просыпаться,делать,потаскать,вздрагивать,пройти,усиливаться,приезжать,отнимать,хватать,дуть,приходить,кивать,бормотать,опираться,забросить,искать,обозначаться,вспылить,бросаться,уронить,темнеть,услышать,переходить,звенеть,мычать,останавливаться,расслышать,рассердиться,слышаться,стоить,настраиваться,глядеть,выходить,держать,отворять,бояться,осматривать,мечтать,возвращаться,убегать,пить,перелистывать,встречать,играть,заплакать,поставлять,петь,хотеть,струшивать,отвечать,подходить,ждать,задумываться,гореть,запыхаться,качать,наливать,бывать,всплескивать,целовать,замахиваться,проносить,аплодировать,меняться,поцеловать,отворяться,удерживаться,целоваться,замирать,сконфузить,шептать,прыгать,лопнуть,хохотать,обнимать,сходиться,затворять,вскакивать,понравиться,цвести,ставить,закуривать,упасть,прислушиваться,возмущаться,лежать,уходить,начинаться,попудриться,опускаться,рыдать,танцевать,идти,кланяться,отдавать,встряхивать,семенить,напевать,схватывать,слушать,снимать,входить,плакать,раздавливать,пожимать,поправлять,опрокидывать,становиться,одевать,бежать,звучать,торжествовать,брать,сидеть,смущать,отъезжать,исчезать,стоять,ездить,подавать,говорить,обрываться,слагать,испугаться,садиться,ощупывать,толкнуть,кричать,отходить,покривиться,хлопать,наступать,утомлять,пошатываться,падать,стучать,мочь,восходить,кашлять,пудриться,полагать,волноваться,трогать,доставать,дышать,вернуться,ложиться,натыкаться,смеяться,показываться,оглянуться,грозить,доноситься,удивляться,наигрывать,поглядеть,кашлянуть,чувствоваться,глядеться,рвать,спешить,раздаваться,возвышаться,хлопотать,стягивать,чистить,топотать,есть,декламировать,улыбаться,вести,окидывать,надевать,подъезжать,ходить,тушить,вбегать,звать,прощаться,рассыпать,жать,увидеть,упоминаться,смотреть,оглядываться,варить,бить,жаловаться,вскрикивать,быть,потягиваться,взглядывать,храпеть,запивать,подпевать,класть,;218
Бригадир;1769;1769;165;1574;вставать,вскотать,пить,видеть,зевать,жеманясти,кидаться,кинуться,заглядывать,вздыхать,курить,держать,схватывать,осердиться,иструситься,петь,входить,смеяться,плакать,оторопеть,остановлять,становиться,сдавать,подумать,давать,придвигать,застыдиться,выступать,разнимать,ухватывать,вести,всплескивать,сидеть,ходить,стоять,аплодировать,передразнивать,подбегать,подавать,увидеть,говорить,отдыхать,пасовать,продолжать,смотреть,вязать,посмотреть,представлять,шептать,услышать,раскладывать,хохотать,приставать,садиться,притворяться,вскакивать,шить,идучивать,ставить,оставлять,отходить,вслушиваться,взглядывать,выходить,кобенясти,шмыгать,;66
Недоросль;1781;1781;339;3022;вынимать,читать,видеть,вздыхать,дрожать,махнуть,усмехаться,взять,смеючиться,примести,узнавать,отталкивать,бросаться,насмехаться,озлобиться,стоить,обробеть,глядеть,выходить,держать,осматривать,вставать,убегать,заплакать,запинаться,сказывать,перевертываться,подвигать,подходить,давать,протягивать,задумываться,запыхаться,тосковать,всплескивать,целовать,замахиваться,вскричать,удерживаться,вглядываться,иметь,остервениться,шептать,вычислять,посмотреть,обнимать,затворять,вскакивать,отмахивать,писать,упасть,ударять,работать,идти,схватывать,входить,становиться,оправлять,бежать,разнимать,брать,вырывать,стоять,выпялить,подбегать,подавать,крестить,продолжать,манить,обертываться,садиться,кричать,мигнуть,вкопать,порываться,отходить,идучивать,доходить,начинать,мочь,выбегать,останавливать,появляться,соединять,держаться,очинивать,смеяться,заслонить,грозить,задрожать,поклониться,вырываться,вбегать,прощаться,ловить,увидеть,уцепляться,бегать,распечатывать,откланиваться,оправляться,смотреть,оглядываться,быть,позвать,очнуться,взглядывать,испугаться,помогать,;109
