Play,Year_of_creation
Blok_-_Balaganchik,1906
Blok_-_Korol_na_ploschadi,1906
Blok_-_Neznakomka,1906
Bulgakov_Dni_Turbinyh,1925
Chehov_-_Jubilej,1891
Chehov_-_Medved',1888
Chehov_-_Na_bol'shoj_doroge,1884
Chehov_-_Predlozhenie,1888
Chehov_-_Svad'ba,1889
Chehov_-_Tat'jana_Repina,1889
Chehov_Chaika,1896
Chehov_Djadja_Vanja,1896
Chehov_Ivanov,1887
Chehov_Leshii,1889
Chehov_Leshii,1889
Chehov_Medved,1888
Chehov_Na_bolshoi_doroge,1884
Chehov_Noch_pered_sudom,1884
Chehov_Predlozhenie,1888
Chehov_Svadba,1889
Chehov_Tatjana_Repina,1889
Chehov_Tragik_ponevole,1889
Chehov_Tri_sestry,1900
Chehov_Vishnevyi_sad,1903
Fonvizin_Brigadir,1769
Fonvizin_Nedorosl,1782
Gogol_Lakeiskaja,1834
Gogol_Otryvok,1840
Gogol_Revizor,1836
Gogol_Teatralnyi_razezd_posle_predstavlenija_novoi_komedii,1836
Gogol_Tjazhba,1836
Gogol_Utro_delovogo_cheloveka,1836
Gogol_Zhenitba,1835
Gogol'_-_Teatral'nyj_raz'ezd_posle_predstavlenija_novoj_komedii,1836
Gorkij_Egor_Bulychov_i_drugie,1932
Gorkij_Na_dne,1902
Gumilyov_-_Akteon,1913
Gumilyov_-_Ditja_Allaha,1916
Gumilyov_-_Don-Zhuan_v_Egipte,1911
Gumilyov_-_Gondla,1917
Krylov_-_Amerikantsy,1788
Krylov_-_Podschipa_ili_Trumf,1800
Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka,1798
Majakovskij_Banja,1930
Ostrovskij_Bednost_ne_porok,1853
Ostrovskij_Bespridannitsa,1878
Ostrovskij_Groza,1859
Ostrovskij_Snegurochka,1873
Ostrovskij_Svoi_ljudi_-_sochtemsja,1849
Ostrovskij_Volki_i_ovtsy,1875
Plavil'schikov_-_Sgovor_Kutejkina,1789
Prutkov_-_Chereposlov_sirech_Frenolog,1860
Prutkov_-_Spor_drevnih_grecheskih_filosofov_ob_izjaschnom,1854
Pushkin_-_Boris_Godunov,1825
Pushkin_-_Kamennyj_gost,1830
Pushkin_-_Skupoj_rytsar,1830
Pushkin_Kamenniy_gost,1830
Pushkin_Pir_vo_vremja_chumy,1830
Pushkin_Rusalka,1832
Pushkin_Skupoj_rytsar,1830
Pushkin_Stseny_iz_rytsarskih_vremen,1835
Sumarokov_-_Dimitrij_Samozvanets,1770
Sumarokov_-_Horev,1747
Sumarokov_-_Semira,1747
Tolstoy_A_-_Blondy,1854
Turgenev_-_Gde_tonko,_tam_i_rvetsja,1847
Turgenev_-_Nahlebnik,1848
Turgenev_-_Neostorozhnost',1843
Turgenev_-_Provintsialka,1851